类型,谱例编号,图片路径,章节,分组,小节,图注
图,,E:\Documents\DeepSeeK\harmony-trainer\images\844930219_figure_largeshow.jpg,第四章 副调和弦,4-2 综合谱例与小结,大调曲例,图4.19 F和弦作为离调的IV/IV和弦
图,,E:\Documents\DeepSeeK\harmony-trainer\images\844930390_figure_largeshow.jpg,第四章 副调和弦,4-2 综合谱例与小结,大调曲例,图4.20 小下属和弦Cm
图,,E:\Documents\DeepSeeK\harmony-trainer\images\844930469_figure_largeshow.jpg,第四章 副调和弦,4-2 综合谱例与小结,大调曲例,图4.21 到g小调的离调和弦
图,,E:\Documents\DeepSeeK\harmony-trainer\images\844965744_figure_largeshow.jpg,第四章 副调和弦,4-2 综合谱例与小结,小调曲例,图4.24 第一小节的旋律音与和弦
图,,E:\Documents\DeepSeeK\harmony-trainer\images\844965964_figure_largeshow.jpg,第四章 副调和弦,4-2 综合谱例与小结,小调曲例,图4.25 含有C和E♭的部分和弦
图,,E:\Documents\DeepSeeK\harmony-trainer\images\844966171_figure_largeshow.jpg,第四章 副调和弦,4-2 综合谱例与小结,小调曲例,图4.26 含有E♭和D的部分和弦
图,,E:\Documents\DeepSeeK\harmony-trainer\images\844966203_figure_largeshow.jpg,第四章 副调和弦,4-2 综合谱例与小结,小调曲例,图4.27 含有E♭的三和弦
图,,E:\Documents\DeepSeeK\harmony-trainer\images\845002215_figure_largeshow.jpg,第二章 大调和声,2-1 大调的三和弦,任意大调的三和弦,图2.8 E♭大调的四边形
图,,E:\Documents\DeepSeeK\harmony-trainer\images\845006266_figure_largeshow.jpg,第五章 变化与延伸,5-1 属变和弦与三全音替换,大调的属变和弦,图5.1 G和弦降低三音会改变和弦性质
图,,E:\Documents\DeepSeeK\harmony-trainer\images\845008064_figure_largeshow.jpg,第五章 变化与延伸,5-1 属变和弦与三全音替换,三全音替换,图5.8 G7与D♭7的三全音替换
图,,E:\Documents\DeepSeeK\harmony-trainer\images\845010589_figure_largeshow.jpg,第五章 变化与延伸,5-2 拿坡里和弦,拿坡里和弦,图5.14 c小调和C大调的拿坡里和弦
图,,E:\Documents\DeepSeeK\harmony-trainer\images\845010869_figure_largeshow.jpg,第五章 变化与延伸,5-2 拿坡里和弦,拿坡里和弦,图5.16 拿坡里和弦作为小下属调的VI
图,,E:\Documents\DeepSeeK\harmony-trainer\images\845019921_figure_largeshow.jpg,第五章 变化与延伸,5-2 拿坡里和弦,拿坡里和弦,图5.17 C大调的N/IV
图,,E:\Documents\DeepSeeK\harmony-trainer\images\845333784_figure_largeshow.jpg,第五章 变化与延伸,5-2 拿坡里和弦,功能组的渗透,图5.20 大调4级可用的部分和弦
图,,E:\Documents\DeepSeeK\harmony-trainer\images\845333832_figure_largeshow.jpg,第五章 变化与延伸,5-2 拿坡里和弦,功能组的渗透,图5.21 大调1级可用的部分和弦
图,,E:\Documents\DeepSeeK\harmony-trainer\images\846947418_figure_largeshow.jpg,第五章 变化与延伸,5-3 增六和弦,三种增六和弦,图5.25 增六度的双重半音趋近
图,,E:\Documents\DeepSeeK\harmony-trainer\images\847396723_figure_largeshow.jpg,第五章 变化与延伸,5-3 增六和弦,其他音级上的增六和弦,图5.32 C大调有关的一些属七和弦
图,,E:\Documents\DeepSeeK\harmony-trainer\images\847397948_figure_largeshow.jpg,第五章 变化与延伸,5-3 增六和弦,其他音级上的增六和弦,图5.33 Gr+6作为V7
图,,E:\Documents\DeepSeeK\harmony-trainer\images\847398780_figure_largeshow.jpg,第五章 变化与延伸,5-3 增六和弦,其他音级上的增六和弦,图5.34 V7作为Gr+6
图,,E:\Documents\DeepSeeK\harmony-trainer\images\851151947_figure_largeshow.jpg,第六章 排列与连接,6-1 谐音列与音程,泛音与谐音列,图6.3 均衡器
图,,E:\Documents\DeepSeeK\harmony-trainer\images\855570781_figure_largeshow.jpg,第六章 排列与连接,6-1 谐音列与音程,谐音列与音程,图6.5 谐音列与音程、和弦
图,,E:\Documents\DeepSeeK\harmony-trainer\images\937331324_figure_large.jpg,第一章 循环与网格图,1-1 音的循环,半音阶循环,图1.1 钢琴键盘与五线谱音高对照表
图,,E:\Documents\DeepSeeK\harmony-trainer\images\937331406_figure_largeshow.jpg,第一章 循环与网格图,1-1 音的循环,半音阶循环,图1.4 音名表示的半音阶循环
图,,E:\Documents\DeepSeeK\harmony-trainer\images\937331559_figure_largeshow.jpg,第一章 循环与网格图,1-1 音的循环,更多的循环,图1.10 从C出发的全音阶循环
图,,E:\Documents\DeepSeeK\harmony-trainer\images\937332185_figure_largeshow.jpg,第二章 大调和声,2-1 大调的三和弦,自然大调,图2.1 以C为宫的五音
图,,E:\Documents\DeepSeeK\harmony-trainer\images\937332217_figure_largeshow.jpg,第二章 大调和声,2-1 大调的三和弦,自然大调,图2.3 五度圈上的C大调七个音
图,,E:\Documents\DeepSeeK\harmony-trainer\images\937332301_figure_large.jpg,第二章 大调和声,2-1 大调的三和弦,任意大调的三和弦,图2.11 Suggester在Ipad上的界面
谱例,2.1,E:\Documents\DeepSeeK\harmony-trainer\images\938012151_figure_large.jpg,第二章 大调和声,2-2 大调的正三和弦,和弦编配,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\938012343_figure_large.jpg,第二章 大调和声,2-2 大调的正三和弦,和弦编配,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\938012450_figure_large.jpg,第二章 大调和声,2-2 大调的正三和弦,和弦编配,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\938012597_figure_large.jpg,第二章 大调和声,2-2 大调的正三和弦,和弦编配,
谱例,2.2,E:\Documents\DeepSeeK\harmony-trainer\images\938012698_figure_large.jpg,第二章 大调和声,2-2 大调的正三和弦,旋律音与第二定律,
谱例,2.3,E:\Documents\DeepSeeK\harmony-trainer\images\938012775_figure_large.jpg,第二章 大调和声,2-2 大调的正三和弦,旋律音与第二定律,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\938012910_figure_largeshow.jpg,第二章 大调和声,2-3 副三和弦与和声套路,自然音体系,图2.24 Stephen Mugglin的大调和弦进行图
谱例,3.3,E:\Documents\DeepSeeK\harmony-trainer\images\938013329_figure_largeshow.jpg,第三章 小调和声,3-2 和声分析与小调进行,吉他六线谱,
谱例,3.16,E:\Documents\DeepSeeK\harmony-trainer\images\938014592_figure_large.jpg,第三章 小调和声,3-4 小调的借用和弦,主和弦与皮卡第终止,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\938018945_figure_large.jpg,第四章 副调和弦,4-2 综合谱例与小结,大调曲例,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\938019087_figure_largeshow.jpg,第四章 副调和弦,4-2 综合谱例与小结,大调曲例,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\938019165_figure_largeshow.jpg,第四章 副调和弦,4-2 综合谱例与小结,大调曲例,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\938019257_figure_largeshow.jpg,第四章 副调和弦,4-2 综合谱例与小结,大调曲例,
谱例,4.6,E:\Documents\DeepSeeK\harmony-trainer\images\938019314_figure_large.jpg,第四章 副调和弦,4-2 综合谱例与小结,小调曲例,
谱例,5.10,E:\Documents\DeepSeeK\harmony-trainer\images\938027991_figure_large.jpg,第五章 变化与延伸,5-2 拿坡里和弦,拿坡里和弦,
谱例,5.16,E:\Documents\DeepSeeK\harmony-trainer\images\938028068_figure_large.jpg,第五章 变化与延伸,5-2 拿坡里和弦,拿坡里和弦,
谱例,5.26,E:\Documents\DeepSeeK\harmony-trainer\images\938028704_figure_large.jpg,第五章 变化与延伸,5-3 增六和弦,特里斯坦和弦,
谱例,5.34,E:\Documents\DeepSeeK\harmony-trainer\images\938028928_figure_large.jpg,第五章 变化与延伸,5-5 爵士理论入门,高叠和弦的更多理解,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\938038868_figure_largeshow.jpg,第六章 排列与连接,6-1 谐音列与音程,谐音列与音程,图6.6 钢琴相距纯八度(100Hz与200Hz)两个音的频谱
谱例,6.3,E:\Documents\DeepSeeK\harmony-trainer\images\938039073_figure_largeshow.jpg,第六章 排列与连接,6-2 音的排列,下疏上密中不空,
谱例,6.5,E:\Documents\DeepSeeK\harmony-trainer\images\938039191_figure_largeshow.jpg,第六章 排列与连接,6-2 音的排列,下疏上密中不空,
谱例,6.9,E:\Documents\DeepSeeK\harmony-trainer\images\938039390_figure_largeshow.jpg,第六章 排列与连接,6-2 音的排列,音域和演奏,
谱例,6.10,E:\Documents\DeepSeeK\harmony-trainer\images\938039498_figure_largeshow.jpg,第六章 排列与连接,6-2 音的排列,音域和演奏,
谱例,6.11,E:\Documents\DeepSeeK\harmony-trainer\images\938039583_figure_largeshow.jpg,第六章 排列与连接,6-2 音的排列,音域和演奏,
谱例,6.12,E:\Documents\DeepSeeK\harmony-trainer\images\938039730_figure_largeshow.jpg,第六章 排列与连接,6-2 音的排列,重复与省略,
谱例,6.13,E:\Documents\DeepSeeK\harmony-trainer\images\938039860_figure_largeshow.jpg,第六章 排列与连接,6-2 音的排列,重复与省略,
谱例,6.14,E:\Documents\DeepSeeK\harmony-trainer\images\938040778_figure_large.jpg,第六章 排列与连接,6-3 声部连接,声部运动的基本概念,
谱例,6.15,E:\Documents\DeepSeeK\harmony-trainer\images\938040841_figure_large.jpg,第六章 排列与连接,6-3 声部连接,声部运动的基本概念,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\938041027_figure_largeshow.jpg,第六章 排列与连接,6-3 声部连接,音的趋向,图6.15 柯达伊半音阶唱名
谱例,6.19,E:\Documents\DeepSeeK\harmony-trainer\images\938041469_figure_largeshow.jpg,第六章 排列与连接,6-3 声部连接,倾向音的处理,
谱例,6.28,E:\Documents\DeepSeeK\harmony-trainer\images\938042684_figure_largeshow.jpg,第六章 排列与连接,6-4 和弦转位,终止四六和弦,
谱例,6.30,E:\Documents\DeepSeeK\harmony-trainer\images\938042957_figure_large.jpg,第六章 排列与连接,6-4 和弦转位,终止四六和弦,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\938043044_figure_largeshow.jpg,第六章 排列与连接,6-4 和弦转位,终止四六和弦,图6.20 连线法安排和弦连接
谱例,6.35,E:\Documents\DeepSeeK\harmony-trainer\images\938043353_figure_large.jpg,第六章 排列与连接,6-4 和弦转位,转位与声部连接,
谱例,6.41,E:\Documents\DeepSeeK\harmony-trainer\images\938043797_figure_large.jpg,第六章 排列与连接,6-4 和弦转位,同和弦转换,
谱例,7.5,E:\Documents\DeepSeeK\harmony-trainer\images\938044549_figure_large.jpg,第七章 和弦外音,7-1 和弦外音,倚音,
谱例,5.26,E:\Documents\DeepSeeK\harmony-trainer\images\938044664_figure_large.jpg,第七章 和弦外音,7-1 和弦外音,倚音,
谱例,7.7,E:\Documents\DeepSeeK\harmony-trainer\images\938044781_figure_large.jpg,第七章 和弦外音,7-1 和弦外音,持续音,
谱例,7.8,E:\Documents\DeepSeeK\harmony-trainer\images\938044810_figure_large.jpg,第七章 和弦外音,7-1 和弦外音,持续音,
谱例,7.9,E:\Documents\DeepSeeK\harmony-trainer\images\938044925_figure_large.jpg,第七章 和弦外音,7-1 和弦外音,持续音,
谱例,7.11,E:\Documents\DeepSeeK\harmony-trainer\images\938045156_figure_large.jpg,第七章 和弦外音,7-2 经过、辅助与倚音和弦,经过和弦,
谱例,7.14,E:\Documents\DeepSeeK\harmony-trainer\images\938045482_figure_large.jpg,第七章 和弦外音,7-2 经过、辅助与倚音和弦,辅助和弦,
谱例,7.15,E:\Documents\DeepSeeK\harmony-trainer\images\938045551_figure_large.jpg,第七章 和弦外音,7-2 经过、辅助与倚音和弦,辅助和弦,
谱例,7.17,E:\Documents\DeepSeeK\harmony-trainer\images\938045799_figure_large.jpg,第七章 和弦外音,7-2 经过、辅助与倚音和弦,辅助和弦,
谱例,7.18,E:\Documents\DeepSeeK\harmony-trainer\images\938045983_figure_large.jpg,第七章 和弦外音,7-2 经过、辅助与倚音和弦,倚音和弦,
谱例,7.20,E:\Documents\DeepSeeK\harmony-trainer\images\938046339_figure_large.jpg,第七章 和弦外音,7-3 趋近和弦,五度趋近,
谱例,7.21,E:\Documents\DeepSeeK\harmony-trainer\images\938046494_figure_large.jpg,第七章 和弦外音,7-3 趋近和弦,五度趋近,
谱例,7.22,E:\Documents\DeepSeeK\harmony-trainer\images\938046637_figure_large.jpg,第七章 和弦外音,7-3 趋近和弦,五度趋近,
谱例,7.24,E:\Documents\DeepSeeK\harmony-trainer\images\938111542_figure_large.jpg,第七章 和弦外音,7-3 趋近和弦,二度趋近,
谱例,7.27,E:\Documents\DeepSeeK\harmony-trainer\images\938250309_figure_large.jpg,第七章 和弦外音,7-3 趋近和弦,共同音趋近,
谱例,7.32,E:\Documents\DeepSeeK\harmony-trainer\images\938958567_figure_large.jpg,第七章 和弦外音,7-4 平行与反向和声,7-4 平行与反向和声,
谱例,7.33,E:\Documents\DeepSeeK\harmony-trainer\images\938958618_figure_large.jpg,第七章 和弦外音,7-4 平行与反向和声,德彪西的平行和声,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\938958711_figure_large.jpg,第七章 和弦外音,7-4 平行与反向和声,德彪西的平行和声,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\938958873_figure_large.jpg,第七章 和弦外音,7-4 平行与反向和声,德彪西的平行和声,
谱例,7.34,E:\Documents\DeepSeeK\harmony-trainer\images\938958916_figure_large.jpg,第七章 和弦外音,7-4 平行与反向和声,平行和声的应用,
谱例,7.35,E:\Documents\DeepSeeK\harmony-trainer\images\938959034_figure_large.jpg,第七章 和弦外音,7-4 平行与反向和声,平行和声的应用,
谱例,7.36,E:\Documents\DeepSeeK\harmony-trainer\images\938959156_figure_large.jpg,第七章 和弦外音,7-4 平行与反向和声,平行和声的应用,
谱例,7.37,E:\Documents\DeepSeeK\harmony-trainer\images\938959284_figure_large.jpg,第七章 和弦外音,7-4 平行与反向和声,平行和声的应用,
谱例,7.38,E:\Documents\DeepSeeK\harmony-trainer\images\938959319_figure_large.jpg,第七章 和弦外音,7-4 平行与反向和声,平行和声的应用,
谱例,7.41,E:\Documents\DeepSeeK\harmony-trainer\images\938959562_figure_large.jpg,第七章 和弦外音,7-4 平行与反向和声,反向和声,
谱例,7.44,E:\Documents\DeepSeeK\harmony-trainer\images\938959693_figure_large.jpg,第七章 和弦外音,7-4 平行与反向和声,平行、反向与循环,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\938959789_figure_largeshow.jpg,第七章 和弦外音,7-4 平行与反向和声,平行、反向与循环,图7.11 大巴车进行的循环
谱例,7.45,E:\Documents\DeepSeeK\harmony-trainer\images\938959991_figure_large.jpg,第七章 和弦外音,7-4 平行与反向和声,平行、反向与循环,
谱例,7.41,E:\Documents\DeepSeeK\harmony-trainer\images\938960083_figure_large.jpg,第七章 和弦外音,7-4 平行与反向和声,平行、反向与循环,
谱例,7.47,E:\Documents\DeepSeeK\harmony-trainer\images\938960495_figure_largeshow.jpg,第七章 和弦外音,7-5 非三度和声,延留与先现和弦,
谱例,7.48,E:\Documents\DeepSeeK\harmony-trainer\images\938960578_figure_large.jpg,第七章 和弦外音,7-5 非三度和声,延留与先现和弦,
谱例,7.49,E:\Documents\DeepSeeK\harmony-trainer\images\938960612_figure_large.jpg,第七章 和弦外音,7-5 非三度和声,挂留和弦,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\938960742_figure_large.jpg,第七章 和弦外音,7-5 非三度和声,挂留和弦,图7.14 三和弦与七和弦的挂留
谱例,3.16,E:\Documents\DeepSeeK\harmony-trainer\images\938961034_figure_large.jpg,第七章 和弦外音,7-5 非三度和声,挂留和弦,
谱例,7.61,E:\Documents\DeepSeeK\harmony-trainer\images\938963057_figure_large.jpg,第七章 和弦外音,7-5 非三度和声,二度和声与音簇,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\939220350_figure_largeshow.jpg,第八章 和弦变换,8-1 三和弦的变换（上）,三元变换,图8.1 C与Am的三元变换
谱例,8.1,E:\Documents\DeepSeeK\harmony-trainer\images\939221249_figure_large.jpg,第八章 和弦变换,8-1 三和弦的变换（上）,三元变换,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\939221465_figure_largeshow.jpg,第八章 和弦变换,8-1 三和弦的变换（上）,多步变换与进行的强弱,图8.2 C与Am变换到属、下属和弦
图,,E:\Documents\DeepSeeK\harmony-trainer\images\939221583_figure_large.jpg,第八章 和弦变换,8-1 三和弦的变换（上）,多步变换与进行的强弱,图8.3 C与Am变换到二度、三全音和弦
谱例,8.2,E:\Documents\DeepSeeK\harmony-trainer\images\939221858_figure_large.jpg,第八章 和弦变换,8-1 三和弦的变换（上）,多步变换与进行的强弱,
图,,E:\Documents\DeepSeeK\harmony-trainer\images\939221959_figure_large.jpg,第八章 和弦变换,8-1 三和弦的变换（上）,多步变换与进行的强弱,图8.4 C、Am到各和弦的变换步数
图,,E:\Documents\DeepSeeK\harmony-trainer\images\939222030_figure_largeshow.jpg,第八章 和弦变换,8-1 三和弦的变换（上）,对角关系,图8.5 C、Am的对角关系
